sample_ID	sample_type	order	sample_site	feeding_habits	bird_type	num_seqs	Group	sample_type2
MDX016-NCJD-19BV-25-DNA-C15-20200707.C15.R1	Faeces	Anseriformes	HH	Herbivorous	Natatores	65508707	Natatores-Herbivorous	Faeces-like_sample
MDX016-NCJD-19BV-26-DNA-C16-20200707.C16.R1	Faeces	Anseriformes	HH	Herbivorous	Natatores	619696420	Natatores-Herbivorous	Faeces-like_sample
MDX016-NCJD-19BV-27-DNA-C17-20200707.C17.R1	Faeces	Anseriformes	HH	Herbivorous	Natatores	720737027	Natatores-Herbivorous	Faeces-like_sample
MDX016-NCJD-19BV-28-DNA-C18-20200707.C18.R1	Faeces	Anseriformes	HH	Herbivorous	Natatores	578454527	Natatores-Herbivorous	Faeces-like_sample
MDX016-NCJD-19BV-29-DNA-C19-20200707.C19.R1	Faeces	Podicipediformes	HH	Carnivorous	Natatores	588912790	Natatores-Carnivorous	Faeces-like_sample
MDX016-NCJD-19BV-30-DNA-C20-20200707.C20.R1	Faeces	Anseriformes	DC	Herbivorous	Natatores	290093612	Natatores-Herbivorous	Faeces-like_sample
MDX016-NCJD-19BV-31-DNA-C21-20200707.C21.R1	Faeces	Anseriformes	HH	Herbivorous	Natatores	699502973	Natatores-Herbivorous	Faeces-like_sample
MDX016-NCJD-19BV-32-DNA-C22-20200707.C22.R1	Faeces	Anseriformes	HH	Herbivorous	Natatores	478094314	Natatores-Herbivorous	Faeces-like_sample
MDX016-NCJD-19BV-33-DNA-C23-20200707.C23.R1	Faeces	Anseriformes	HH	Herbivorous	Natatores	672106810	Natatores-Herbivorous	Faeces-like_sample
MDX016-NCJD-19BV-34-DNA-C24-20200707.C24.R1	Faeces	Anseriformes	HH	Herbivorous	Natatores	760006471	Natatores-Herbivorous	Faeces-like_sample
MDX016-NCJD-19BV-35-DNA-C25-20200707.C25.R1	Faeces	Anseriformes	HH	Herbivorous	Natatores	659229815	Natatores-Herbivorous	Faeces-like_sample
MDX016-NCJD-19BV-36-DNA-C26-20200707.C26.R1	Faeces	Anseriformes	HH	Herbivorous	Natatores	665502841	Natatores-Herbivorous	Faeces-like_sample
MDX016-NCJD-19BV-37-DNA-C27-20200707.C27.R1	Faeces	Anseriformes	HH	Herbivorous	Natatores	706531655	Natatores-Herbivorous	Faeces-like_sample
MDX016-NCJD-19BV-38-DNA-C28-20200707.C28.R1	Faeces	Anseriformes	HH	Herbivorous	Natatores	665764712	Natatores-Herbivorous	Faeces-like_sample
MDX016-NCJD-19BV-39-DNA-C29-20200707.C29.R1	Faeces	Anseriformes	HH	Herbivorous	Natatores	559130717	Natatores-Herbivorous	Faeces-like_sample
MDX016-NCJD-19BV-40-DNA-C30-20200707.C30.R1	Faeces	Anseriformes	HH	Herbivorous	Natatores	623507664	Natatores-Herbivorous	Faeces-like_sample
MDX016-NCJD-19BV-41-DNA-C31-20200707.C31.R1	Faeces	Anseriformes	HH	Herbivorous	Natatores	577307842	Natatores-Herbivorous	Faeces-like_sample
MDX016-NCJD-19BV-42-DNA-C32-20200707.C32.R1	Faeces	Anseriformes	HH	Herbivorous	Natatores	592706059	Natatores-Herbivorous	Faeces-like_sample
NCJD-19BV-43	Faeces	Anseriformes	DC	Herbivorous	Natatores	616426786	Natatores-Herbivorous	Faeces-like_sample
MDX016-NCJD-19BV-44-DNA-D10-20200707.D10.R1	Faeces	Anseriformes	DC	Herbivorous	Natatores	601105026	Natatores-Herbivorous	Faeces-like_sample
MDX016-NCJD-19BV-45-DNA-D11-20200707.D11.R1	Faeces	Anseriformes	DC	Herbivorous	Natatores	575094072	Natatores-Herbivorous	Faeces-like_sample
MDX016-NCJD-19BV-46-DNA-D12-20200707.D12.R1	Faeces	Anseriformes	DC	Herbivorous	Natatores	635044277	Natatores-Herbivorous	Faeces-like_sample
MDX016-NCJD-19BV-47-DNA-D13-20200707.D13.R1	Faeces	Charadriiformes	DC	Carnivorous	Wader	560314579	Wader-Carnivorous	Faeces-like_sample
MDX016-NCJD-19BV-48-DNA-D14-20200707.D14.R1	Faeces	Ciconiiformes	DC	Carnivorous	Wader	569305114	Wader-Carnivorous	Faeces-like_sample
MDX016-NCJD-19BV-49-DNA-D15-20200707.D15.R1	Faeces	Ciconiiformes	DC	Carnivorous	Wader	708275593	Wader-Carnivorous	Faeces-like_sample
MDX016-NCJD-19BV-50-DNA-D16-20200707.D16.R1	Faeces	Charadriiformes	DC	Carnivorous	Wader	638703383	Wader-Carnivorous	Faeces-like_sample
MDX016-NCJD-19BV-51-DNA-D17-20200707.D17.R1	Faeces	Anseriformes	DC	Herbivorous	Natatores	775697591	Natatores-Herbivorous	Faeces-like_sample
MDX016-NCJD-19BV-52-DNA-D18-20200707.D18.R1	Faeces	Anseriformes	DC	Herbivorous	Natatores	665000558	Natatores-Herbivorous	Faeces-like_sample
MDX016-NCJD-19BV-54-DNA-D19-20200707.D19.R1	Faeces	Anseriformes	DC	Herbivorous	Natatores	703998135	Natatores-Herbivorous	Faeces-like_sample
MDX016-NCJD-19BV-55-DNA-D20-20200707.D20.R1	Faeces	Ciconiiformes	DC	Carnivorous	Wader	678594941	Wader-Carnivorous	Faeces-like_sample
